,,PCT_CHG
2011-12-30,600132.SH,-64.9025413274118
2018-12-28,002252.SZ,-58.965163934426236
2018-06-29,000063.SZ,-58.38390290641967
2016-01-29,002153.SZ,-46.96026490066225
2015-07-31,600061.SH,-45.4785827604442
2018-10-31,600521.SH,-44.08405664687072
2016-01-29,600588.SH,-41.433511474379124
2015-07-31,002044.SZ,-41.36363636363636
2015-08-31,300033.SZ,-41.26082635240665
2015-07-31,600570.SH,-41.17804551539491
2016-01-29,600745.SH,-40.77598828696926
2015-07-31,000728.SZ,-40.73196419167983
2015-09-30,600886.SH,-40.55144586415602
2016-01-29,300014.SZ,-40.34125533211458
2015-07-31,600745.SH,-39.93416054697392
2016-01-29,601155.SH,-39.931068439192515
2016-01-29,601919.SH,-39.467849223946786
2016-01-29,600848.SH,-39.138006094906395
2018-06-29,600438.SH,-38.82978723404255
2016-01-29,600346.SH,-38.76923076923078
2016-01-29,002050.SZ,-38.591549295774655
2015-07-31,600299.SH,-38.287250384024574
2015-06-30,601766.SH,-37.65704584040746
2015-07-31,601872.SH,-37.5
2016-01-29,002120.SZ,-36.92022263450835
2016-01-29,600763.SH,-36.39330885352917
2016-01-29,600705.SH,-36.02091093894364
2016-01-29,601618.SH,-35.88039867109634
2016-01-29,600655.SH,-35.76732673267327
2016-01-29,600150.SH,-35.54407120298594
2016-01-29,600760.SH,-35.44631306597672
2016-01-29,600085.SH,-34.835238735709474
2016-01-29,600570.SH,-34.607183860915214
2016-03-31,000066.SZ,-34.540389972144844
2016-01-29,600482.SH,-34.49521785334749
2016-01-29,600050.SH,-34.466019417475735
2015-07-31,600809.SH,-34.45467422096316
2013-06-28,600745.SH,-34.40467494521548
2015-06-30,002050.SZ,-34.38035408338094
2016-01-29,000977.SZ,-34.31094292021445
2016-01-29,601989.SH,-34.148936170212764
2015-08-31,601111.SH,-34.12765957446808
2015-08-31,600588.SH,-33.929027316824104
2015-07-31,000800.SZ,-33.88341386031585
2019-07-31,601155.SH,-33.86083898517962
2018-10-31,000596.SZ,-33.67776042292442
2016-01-29,600143.SH,-33.60465116279069
2018-12-28,300003.SZ,-33.51437699680512
2018-10-31,600309.SH,-33.317635978337655
2016-01-29,002129.SZ,-33.22422258592472
2016-01-29,600352.SH,-33.16151202749141
2015-07-31,601600.SH,-33.0117899249732
2016-01-29,601872.SH,-33.00423131170662
2015-06-30,000977.SZ,-32.993197278911566
2016-12-30,600233.SH,-32.97396792006311
2015-09-30,600872.SH,-32.88621646623498
2013-07-31,600547.SH,-32.78073375479069
2020-03-31,600438.SH,-32.69565217391305
2016-01-29,600436.SH,-32.6210204971653
2016-01-29,002271.SZ,-31.899641577060933
2015-06-30,002230.SZ,-31.89083820662768
2012-11-30,002044.SZ,-31.746031746031754
2016-01-29,002230.SZ,-31.713900134952755
2015-07-31,600109.SH,-31.680327868852444
2015-06-30,002129.SZ,-31.64075993091536
2018-10-31,600809.SH,-31.613448932120946
2010-05-31,600030.SH,-31.582584657912925
2011-09-30,002129.SZ,-31.47773279352227
2016-01-29,601727.SH,-31.369150779896003
2015-08-31,000661.SZ,-31.35395189003437
2016-01-29,000938.SZ,-31.327505590567185
2015-06-30,600606.SH,-31.163708086785014
2015-06-30,601727.SH,-31.13468634686346
2016-01-29,600999.SH,-30.96774193548386
2018-10-31,002304.SZ,-30.9453125
2016-01-29,001979.SZ,-30.87248322147651
2016-01-29,600872.SH,-30.86261980830671
2015-12-31,601155.SH,-30.800681431005117
2013-06-28,600233.SH,-30.75114853593953
2016-01-29,600522.SH,-30.742358078602617
2015-08-31,600029.SH,-30.736540558832846
2016-01-29,002027.SZ,-30.69330199764981
2018-12-28,600745.SH,-30.675853018372713
2015-07-31,600606.SH,-30.618092509209994
2021-07-30,600600.SH,-30.58365758754864
2016-01-29,600109.SH,-30.52109181141439
2016-01-29,000425.SZ,-30.352941176470583
2010-06-30,002202.SZ,-30.33154121863799
2021-03-31,600438.SH,-30.310770540655586
2016-01-29,000656.SZ,-30.303030303030308
2016-01-29,000768.SZ,-30.19781994348002
2016-01-29,600332.SH,-30.128840436075322
2016-01-29,600299.SH,-30.09605122732123
2011-12-30,600346.SH,-29.990539262062445
2015-06-30,600584.SH,-29.948680351906155
2015-07-31,600848.SH,-29.948020791683327
2016-01-29,002202.SZ,-29.706011408512502
2017-11-30,600848.SH,-29.67479674796748
2020-03-31,000100.SZ,-29.59183673469389
2016-01-29,600845.SH,-29.55724662746455
2012-07-31,600760.SH,-29.551451187335086
2015-07-31,000938.SZ,-29.53643294553553
2018-10-31,002027.SZ,-29.49471210340776
2013-06-28,002044.SZ,-29.49367088607594
2015-08-31,600837.SH,-29.360465116279066
2015-07-31,600547.SH,-29.230769230769226
2015-08-31,000166.SZ,-29.185520361990946
2016-01-29,600426.SH,-29.175329175329168
2018-10-31,000858.SZ,-29.139072847682122
2016-01-29,000776.SZ,-29.10025706940874
2015-07-31,000338.SZ,-29.05874921036007
2016-01-29,601788.SH,-28.901482127288592
2015-07-31,601808.SH,-28.8117394416607
2013-06-28,601788.SH,-28.721174004192886
2015-07-31,000725.SZ,-28.70905587668594
2016-01-29,600118.SH,-28.65538316878231
2011-09-30,600438.SH,-28.619153674832965
2015-06-30,002153.SZ,-28.576923076923077
2017-05-31,600893.SH,-28.50072780203785
2015-08-31,000728.SZ,-28.4762327854287
2013-06-28,600426.SH,-28.215223097112872
2016-01-29,600606.SH,-28.169014084507026
2016-01-29,600061.SH,-28.114153490165826
2021-08-31,300015.SZ,-28.109028960817707
2013-10-31,600521.SH,-27.956337174044865
2016-01-29,600018.SH,-27.9320987654321
2010-04-30,600340.SH,-27.86361214704316
2010-04-30,000656.SZ,-27.849829351535828
2015-08-31,000776.SZ,-27.828418230563003
2017-05-31,000768.SZ,-27.82426778242677
2016-01-29,601628.SH,-27.799364182267748
2017-05-31,600143.SH,-27.77777777777778
2010-05-31,600299.SH,-27.574750830564764
2015-08-31,600522.SH,-27.514910536779325
2021-01-29,600521.SH,-27.50665483584739
2021-07-30,000568.SZ,-27.48156310926507
2016-03-31,002049.SZ,-27.44804655029093
2018-04-27,600183.SH,-27.395715896279594
2019-01-31,002252.SZ,-27.34082397003744
2018-01-31,600745.SH,-27.33471686925585
2015-07-31,600489.SH,-27.293937376624523
2015-07-31,601006.SH,-27.207977207977187
2015-08-31,600299.SH,-27.19352831362788
2020-03-31,600745.SH,-27.172275238573583
2016-01-29,601390.SH,-27.10622710622711
2020-09-30,000876.SZ,-27.105263157894733
2018-02-28,601600.SH,-27.070457354758947
2015-07-31,600362.SH,-27.06963769631526
2016-01-29,000069.SZ,-27.04545454545456
2011-12-30,002008.SZ,-27.030033370411576
2015-07-31,000069.SZ,-27.020745967893955
2016-01-29,600079.SH,-26.99910152740341
2021-01-29,600340.SH,-26.914153132250583
2016-07-29,000002.SZ,-26.903445194676745
2016-01-29,600031.SH,-26.899696048632226
2020-09-30,600521.SH,-26.897652154091634
2018-04-27,600150.SH,-26.862539349422875
2015-08-31,002129.SZ,-26.84485764090646
2020-09-30,002157.SZ,-26.841046277665992
2014-12-31,002120.SZ,-26.826273787599753
