,,PCT_CHG
2021-07-30,600600.SH,-30.58365758754864
2021-03-31,600438.SH,-30.310770540655586
2021-08-31,300015.SZ,-28.109028960817707
2021-07-30,000568.SZ,-27.48156310926507
2021-07-30,000860.SZ,-25.983878615457566
2021-03-31,600340.SH,-25.943396226415093
2021-08-31,600763.SH,-25.50244087998479
2021-07-30,000858.SZ,-25.18009644348782
2021-07-30,601919.SH,-24.81429179717578
2021-03-31,600893.SH,-24.24393486208042
2021-07-30,600522.SH,-24.0
2021-09-30,600111.SH,-23.711873169050477
2021-07-30,600741.SH,-23.609253538955123
2021-11-30,601888.SH,-23.470908142740065
2021-03-31,000768.SZ,-23.397537101357745
2021-07-30,600763.SH,-23.245742092457423
2021-02-26,600872.SH,-22.868620740961166
2021-07-30,000963.SZ,-22.864594653336223
2021-07-30,002311.SZ,-22.713803228862737
2021-08-31,600196.SH,-22.691744015632644
2021-07-30,000596.SZ,-22.384133611691027
2021-03-31,600703.SH,-22.24448897795591
2021-07-30,000876.SZ,-22.22222222222222
2021-07-30,600132.SH,-21.94493558979541
2021-09-30,600893.SH,-21.871327849588717
2021-03-31,000625.SZ,-21.818181818181827
2021-06-30,002044.SZ,-21.80257510729614
2021-07-30,000001.SZ,-21.794871794871796
2021-02-26,600009.SH,-21.67088607594937
2021-09-30,600745.SH,-21.524926686217004
2021-11-30,600438.SH,-21.50969771099074
2021-03-31,601899.SH,-21.082854799015582
2021-10-29,600763.SH,-21.044963909674852
2021-07-30,000661.SZ,-20.992248062015506
2021-10-29,601600.SH,-20.77419354838711
2021-03-31,600362.SH,-20.71684587813619
2021-10-29,300003.SZ,-20.536712635109943
2021-04-30,000066.SZ,-20.52489905787348
2021-07-30,002157.SZ,-20.334728033472803
2021-04-30,002044.SZ,-20.23346303501945
2021-07-30,002304.SZ,-20.135974967103863
2021-10-29,600143.SH,-20.040899795501023
2021-08-31,002007.SZ,-20.005436259853226
2021-07-30,600276.SH,-19.994115050757678
2021-03-31,600760.SH,-19.963008631319347
2021-07-30,600009.SH,-19.904425514232305
2021-07-30,601155.SH,-19.775025031471504
2021-02-26,600660.SH,-19.7457627118644
2021-07-30,300003.SZ,-19.738480697384787
2021-02-26,300014.SZ,-19.718309859154925
2021-07-30,601888.SH,-19.69343552149284
2021-09-30,000708.SZ,-19.5447409733124
2021-11-30,600011.SH,-19.455252918287947
2021-07-30,000656.SZ,-19.404537049328862
2021-10-29,001979.SZ,-19.39721792890262
2021-08-31,600143.SH,-19.353233830845774
2021-03-31,600309.SH,-19.26605504587158
2021-07-30,002027.SZ,-19.257549499203176
2021-07-30,000895.SZ,-19.24528301886793
2021-09-30,000625.SZ,-19.01066925315229
2021-03-31,600346.SH,-18.843386828998344
2021-07-30,002032.SZ,-18.780373099231852
2021-03-31,000703.SZ,-18.475236505286585
2021-07-30,601872.SH,-18.398268398268403
2021-07-30,600519.SH,-18.364856323236246
2021-07-30,600436.SH,-18.358242248494317
2021-11-30,600009.SH,-18.25757575757576
2021-09-30,002179.SZ,-18.164588528678305
2021-09-30,601238.SH,-18.16009759883077
2021-03-31,300015.SZ,-18.027116768123964
2021-08-31,600521.SH,-17.864476386036955
2021-08-31,600872.SH,-17.85128485511207
2021-07-30,300033.SZ,-17.8311757403795
2021-06-30,002024.SZ,-17.794117647058826
2021-02-26,000860.SZ,-17.397881996974263
2021-09-30,600196.SH,-17.377567140600313
2021-07-30,600340.SH,-17.366412213740457
2021-05-31,000661.SZ,-17.350069456167205
2021-07-30,002044.SZ,-17.343578485181112
2021-07-30,000786.SZ,-17.324840764331206
2021-07-30,300015.SZ,-17.300648069878843
2021-11-30,600763.SH,-17.16430428583411
2021-10-29,601872.SH,-17.028985507246365
2021-07-30,601009.SH,-17.015209125475273
2021-03-31,600031.SH,-16.930187302359524
2021-03-31,000876.SZ,-16.909015371832158
2021-04-30,000876.SZ,-16.89999999999999
2021-04-30,600893.SH,-16.8896687870147
2021-08-31,600276.SH,-16.881206325855093
2021-06-30,600655.SH,-16.876310130071758
2021-07-30,600048.SH,-16.860465116279066
2021-09-30,600760.SH,-16.70932358318099
2021-09-30,601919.SH,-16.682738669238184
2021-08-31,000661.SZ,-16.52276295133438
2021-07-30,601318.SH,-16.50591163658992
2021-09-30,600438.SH,-16.491803278688533
2021-10-29,000069.SZ,-16.421895861148194
2021-03-31,002120.SZ,-16.378796902918403
2021-02-26,600809.SH,-16.377330270818867
2021-07-30,600570.SH,-16.271268825177565
2021-07-30,600085.SH,-16.254589963280285
2021-06-30,600872.SH,-16.127744510978047
2021-08-31,600161.SH,-16.09413037598052
2021-03-31,002153.SZ,-15.940791346427563
2021-07-30,600079.SH,-15.921337874691044
2021-07-30,600655.SH,-15.875754961173428
2021-06-30,000860.SZ,-15.773600407283583
2021-03-31,601808.SH,-15.73863636363637
2021-02-26,600999.SH,-15.712074303405576
2021-07-30,600848.SH,-15.698324022346366
2021-09-30,600010.SH,-15.691489361702127
2021-07-30,002142.SZ,-15.683505378129514
2021-09-30,002008.SZ,-15.670976370931788
2021-07-30,601628.SH,-15.649499307263358
2021-07-30,600109.SH,-15.524034672970844
2021-04-30,600521.SH,-15.519253208868145
2021-08-31,002153.SZ,-15.445544554455449
2021-07-30,601111.SH,-15.424164524421602
2021-11-30,600018.SH,-15.371024734982342
2021-10-29,600346.SH,-15.36098310291859
