,,EP_TTM,EP_LYR,BP_LF,BP_LYR,NCF_TTM,OCF_TTM,SP_TTM,SP_LYR,FCFP_LYR,PEG_TTM,EV/EBITDA,DYR,sales_gr_TTM,net_asset_gr_TTM,gross_margin_gr_TTM,net_profit_gr_TTM,total_asset_gr_TTM,net_cash_flow_gr_TTM,invest_cash_flow_gr_TTM,finance_cash_folw_gr_TTM,operate_cash_flow_gr_TTM,operete_profit_gr_TTM,CUR,QR,BOOK_LEVEL,DEBT_TO_ASSETS,CASH_FLOW_LIABILITY,DEBT_TO_EQUITY,REV_5D,REV_10D,REV_3M,REV_6M,REV_1Y,REV_3Y,REV_LAST1M_MAX,LN_HIGH-LOW,RVI,RSTR12,CYF,CRY,CR20,RSI,DEA,MACD,K,D,J,INDUSTRY_SW,CAP
2021-01-29,000001.SZ,0.060194249440437844,0.06292365911734141,0.6445842137645331,0.812642486897175,0.2997549677175721,-0.20935200180246305,0.3382500964873465,0.30788516277744943,,-4.598212686245327,,0.9441316587267216,13.9493,24.5417,,-3.6129,17.2409,2394.4141,92.152,421.8607,-343.8636,-5.2329,,,,91.7465,,11.1161,1.04811621,1.09952381,1.30451977,1.67805233,1.42781036,1.81349596,0.08095238,0.2795026445340911,0.3373494,69.1330786011646,38.45952940186755,7.952696105775425e+24,2.14252607,70.93970885749246,0.8986534144227601,0.23009364441338032,77.56215469292759,78.64738492760084,75.39169422358108,银行,448078870827.75
2021-01-29,000002.SZ,0.12542455557053392,0.1204004052145179,0.6277551537222629,0.695388693661956,0.2201862449532498,0.2395280853521271,1.1939367969605938,1.139495599165127,-0.09883693527500888,8.159779365249866,4.190156925028617,3.6581975530766475,11.5457,21.1636,-14.4036,0.9771,10.7217,362.7598,-26.2203,105.9306,26.602,-1.2844,1.1414,0.416,0.642,83.3206,5.8695,7.4593,0.94976077,0.9278798,0.95008547,1.05366605,0.9647729,1.00289838,0.04373957,0.17708029306125447,-0.7037037,34.32430705473524,49.557461811581106,7.930120186640174e+24,0.9195442,21.911108173298654,0.16727264352238963,-0.4274920769901377,15.545216751648246,27.460236640684744,-8.284823026424753,房地产,270050805234.35
2021-01-29,000063.SZ,0.02940371512638447,0.034664328240665336,0.29064720862043986,0.29154829540195026,0.06358897320378416,0.0566320378893127,0.6826594183547924,0.6109941363952648,0.016526797715091086,-1.7488472523013223,15.069050317416167,0.6213109661385525,10.5923,50.9248,-11.9971,-19.4467,12.3055,-45.8747,-275.9175,-43.9029,114.9448,-5.8074,1.3762,0.9375,0.6884,72.9187,9.376,2.8758,0.95011806,0.91709402,0.925,0.82678032,0.80779285,0.88999399,0.05371901,0.15791716262273534,-0.58095238,39.24903304776801,72.63575450079585,7.827264808227322e+24,0.8477707,29.329279617390934,0.27144726194655033,-0.7277110747043636,14.566157562173352,27.22388513342466,-10.749297580329262,通信,111900609821.99998
2021-01-29,000066.SZ,0.015293882633639448,0.02198499828400434,0.15511074304051084,0.17665982551649445,0.023442414222408545,-0.018304023341811786,0.21992413012846604,0.21381339975576366,-0.039933774339726336,-3.634977963919496,32.881791844386726,0.5023094688221708,2.433,25.7033,3.82,-17.9879,46.475,146.1813,-26.9416,51.2439,-23.8747,-16.9155,1.7265,1.1103,0.9381,68.8604,-8.8367,2.3194,0.95743505,0.94335512,1.07311029,0.86040735,1.0945112,2.42275457,0.09004739,0.21576168662301276,-0.34343434,41.97695583791222,72.87033220093738,8.038246164061242e+24,0.78256101,33.124829725417136,0.38287175977662685,-0.6581876256018967,19.212243168911076,23.45097351085109,10.734782485031054,计算机,50710076964.76
2021-01-29,000069.SZ,0.21476510067114093,0.22865673359689817,1.3033564433937141,1.4526617678180793,0.03202040949318465,-0.06904713180497095,1.1776939014124062,1.1122377194546822,-0.07573471663923688,2.713432400932401,5.141780394378948,4.55966628560281,18.9034,12.8453,-11.8475,1.716,18.7423,59.7515,71.4428,12.6502,-153.1898,4.9794,1.5687,0.5039,1.0233,76.068,-1.6697,4.6793,0.95778748,0.96907216,0.94676259,0.8952381,0.90907895,0.88905179,0.03092784,0.11387379297926378,-0.63157895,39.045959226478786,38.27399472534002,7.99221411238572e+24,0.74593796,30.975017299572382,-0.006435743142363742,-0.04922491042035589,15.897448176566852,28.693569422882202,-9.694794316063849,房地产,46430441767.78
2021-01-29,000100.SZ,0.017138517894519374,0.02171977985805577,0.2744235984572152,0.28299476799723305,-0.038686397402292474,0.13069455252273718,0.5378609511175803,0.6217250715800544,-0.15785798720855926,-1.1162166117865608,11.913359481434968,1.0786500109130828,-27.9242,2.2114,-37.3612,-52.2731,23.8351,-209.1282,-73.8569,35.7269,49.4569,-51.9411,1.1297,1.0336,1.1687,66.5214,28.7103,4.2874,0.86418511,0.92167382,1.31950845,1.33592535,1.69106804,2.38926209,0.09974425,0.3770909997618435,-0.61038961,49.34188961172686,84.38155659813629,7.120035937459405e+24,1.57894737,35.47783944874775,0.5754109628141573,-0.16895318076480992,30.170980913062603,47.18705183833643,-3.861160937485053,电子,110790822708.48
2021-01-29,000157.SZ,0.06661564813630105,0.044270214345348585,0.45213748295175005,0.47299672267495824,-0.014516671545354576,0.0534081328874373,0.5751839415672176,0.43857868539518385,0.10288707158728017,0.2560385326372498,9.781668180360406,1.6832076565940954,44.0936,22.3638,-2.5428,58.6298,7.5118,-163.7218,264.5687,-1086.277,-24.367,40.3819,1.7665,1.419,0.4445,57.5186,12.2718,1.3816,1.0641574,1.05513147,1.67654987,1.53914737,1.86223369,3.12374684,0.07362535,0.26737680629103544,0.63235294,62.578134922231634,73.89280045517589,7.911592400508316e+24,1.81812256,64.33489451553372,0.5532558592180592,-0.0318764138314811,68.05654936288526,55.573479821982744,93.02268844469029,机械设备,81049243587.08
2021-01-29,000166.SZ,0.06406734031173758,0.04894241939291317,0.7447176860738209,0.7549016690063688,0.18072469919102044,-0.07561103241875274,0.2530219981725361,0.20986478228028782,0.5177154933676464,0.45860504289999876,,1.7094017094017095,32.7674,6.3788,,34.0349,27.0307,104.4568,-635.879,6255.5206,-176.9294,32.1355,,,,81.1963,,4.3993,0.93975904,0.9140625,0.89142857,0.81808397,0.93587515,0.90325492,0.03921569,0.13835843337283837,-0.44444444,26.47093373892674,27.06142342068344,7.1465098450412e+24,0.43726236,17.102678683799972,-0.07092132939674627,-0.09455583617731436,7.877350346272017,11.80035783209283,0.031335374630391044,非银金融,105466174238.87999
2021-01-29,000333.SZ,0.03675331080041402,0.035717204295784476,0.166522045698532,0.17336391638949378,0.009617480757444116,0.049884664687016675,0.4043004714764937,0.4104335715705902,0.0564979497559861,35.585185915831964,20.138637011013667,1.642154582177046,-0.2793,14.8993,-10.8207,0.7646,22.838,-55.2525,-194.1457,222.4263,-11.1582,1.9202,1.3317,1.2008,0.3827,65.7209,18.3441,2.0404,0.95784031,0.96629552,1.1186854,1.34915966,1.6434137,1.87439195,0.03967595,0.12081477649110954,0.23844282,46.83460166168057,33.59960158698546,7.749324427763461e+24,0.92008762,40.42464734462404,1.7801368836350768,-1.7966649366325314,30.721025617514567,36.54370958307554,19.075657686392617,家用电器,661706675816.94
2021-01-29,000338.SZ,0.05456960943377452,0.05428596274710216,0.28740099722425294,0.3052807115448911,0.03027438237806992,0.13160530445890603,1.1628538317046677,1.039582133808313,0.07015525439793409,-1.4527912445641753,9.513267570711662,1.3528855250709555,16.2441,15.198,-12.0903,-12.6138,18.4827,31.6073,-39.9409,40.925,11.5655,-11.5618,1.214,0.9812,0.9059,71.8481,17.9677,3.8558,1.09590461,1.13412017,1.26586826,1.2888985,1.48343245,2.81399024,0.08243728,0.31921053511332337,0.69417476,74.38233721709119,75.16877257616399,7.824318658701144e+24,2.80152672,76.53223636451092,0.7375333175796868,0.37064527688427384,74.69288183304485,70.76799419440286,82.54265711032883,汽车,89724836540.5
