,,EP_TTM,EP_LYR,BP_LF,BP_LYR,NCF_TTM,OCF_TTM,SP_TTM,SP_LYR,FCFP_LYR,EV/EBITDA,DYR,sales_gr_TTM,net_asset_gr_TTM,gross_margin_gr_TTM,net_profit_gr_TTM,total_asset_gr_TTM,net_cash_flow_gr_TTM,invest_cash_flow_gr_TTM,finance_cash_folw_gr_TTM,operate_cash_flow_gr_TTM,operete_profit_gr_TTM,CUR,QR,BOOK_LEVEL,DEBT_TO_ASSETS,CASH_FLOW_LIABILITY,DEBT_TO_EQUITY,REV_5D,REV_10D,REV_3M,REV_6M,REV_1Y,REV_3Y,REV_LAST1M_MAX,LN_HIGH-LOW,RVI,RSTR12,CYF,CRY,CR20,RSI,DEA,MACD,K,D,J,INDUSTRY_SW,CAP
2015-01-30,000001.SZ,0.1208240513349197,0.0957028987626182,0.7963365855964658,0.8228086724491612,0.09035569991121914,-0.0895891228781702,0.4366668603183081,0.3279258475163995,0.1001216957140301,,0.9571667863292708,46.1146,33.5286,,29.394000000000002,15.5603,-75.1457,85.3932,647.1634,-106.9934,30.4302,,,,94.0898,,9.0530336,0.96736111,0.9063110000000001,1.28743068,1.28743068,1.43782901,1.78768936,0.04266088,0.1895471102434889,0.0,42.67288437378023,58.118610766342364,8.319482230639027e+24,0.5840920000000001,35.08617411399085,0.043811754390182964,-0.20215930049757866,31.088800942134494,30.21062660681212,32.84514961277926,银行,137025400249.5
2015-01-30,000002.SZ,0.10642847362790044,0.10437180567206636,0.6088222458614446,0.6086493565093957,0.08199118500304209,0.21531600579281032,0.9329681960401468,0.934871684288764,0.25692488797040325,5.732072129284026,3.1167609502477878,12.242,15.0352,-10.0721,8.4258,12.7589,212.1898,-301.582,-193.8615,485.45174189999994,4.4587,1.3392,0.353,0.5431,79.5793,8.7579,5.2693,0.94252874,0.9704142,1.41227126,1.34702259,1.81641369,1.89489105,0.07266187,0.2373048286419315,0.04347826,51.52796440800926,71.72984389745625,8.248640780839455e+24,0.9133425,47.63843431292859,0.30613719354539565,-0.18365159834913547,53.680003538113354,55.46278232314807,50.11444596804394,房地产,127355557893.76
2015-01-30,000060.SZ,0.0307681040076094,0.01946151381410832,0.2977386775043073,0.2840959153012834,0.007500401995269903,0.050561377030766505,1.3489240169769416,0.9948208658237162,0.006284630389307149,16.856011277277904,0.29154518950437325,81.7479,15.5455,-45.7401,173.878,2.8778,1307.3869700999999,-11.6039,188.0817,-16.244,99.3439,0.8143,0.4352,0.3301,53.7895,18.8784,1.2557,1.01881188,1.03625378,1.35573123,1.23975904,1.82115459,1.29585941,0.10010537,0.2518114461837817,0.11111111,54.14622990398297,71.62968655413817,8.152275421735112e+24,1.4045961,53.74455663573925,0.1092790958455924,0.013691220472131477,60.966019916686285,60.99530604270689,60.90744766464508,有色金属,21205034716.95
2015-01-30,000063.SZ,0.03998345716185084,0.02059176334824315,0.3769443264644088,0.3773366234987512,-0.019091642344870027,0.10237548883263983,1.2322177789500093,1.1410798459515479,-0.06482859949281328,12.206894530907919,0.15641293013555785,1.575,12.0306,16.3143,212.6892891,1.6452,-447.7645,-180.5465,-207.071,98.7592,101.5089,1.2075,0.9022,0.4798,75.1685,10.3976,3.185,0.9745935,0.9701568000000002,1.26018397,1.36707056,1.45524275,1.1194133,0.06,0.1553544839933377,-0.55769231,50.011557888857155,72.02639595990888,8.177552086839856e+24,1.46412444,41.614251716866,0.4274188305763227,-0.18242205044973936,55.65313671099327,63.95491686181033,39.049576409359176,通信,53726733190.9
2015-01-30,000069.SZ,0.07535741150925032,0.07693591426758394,0.4567947984492756,0.4907422139481853,0.028737793831894037,-0.04669955659066288,0.5255687248187622,0.4914009793667227,-0.040159398324458,7.123298078335464,0.8883439086294418,3.1918,17.3041,3.7581,-11.9935,8.0068,-39.7276,-20.9013,237.08599999999998,-129.7956,-13.2215,1.5836,0.4422,0.7724,68.1602,-6.5385,2.4463,,,,,,,0.10055866,0.2465479750242061,,57.05118931034319,,6.809200557468566e+24,,58.20936120574871,0.17679903509156922,-0.04560516780855045,92.5892995891673,82.19410461693259,113.37968953363665,房地产,24526216911.0
2015-01-30,000100.SZ,0.08331153036201143,0.05735853809418213,0.4788567638182234,0.4948165516837312,-0.07749652842933498,0.14187188362781605,2.499046747225072,2.3204880817832114,-0.09032596190817603,5.3308128310586085,1.3927302146637472,13.8322,35.1796,0.4456,83.5213,8.799,-257.3548,-21.6522,-49.3637,-21.2342,49.0609,1.2041,0.9702,0.7836,73.2506,10.8857,3.8128,1.00777202,0.96766169,1.20433437,1.60082305,1.71526946,2.30916272,0.06052632,0.16513980140285345,0.23076923,50.66351388851144,76.7139099596244,8.194097259330019e+24,1.21390374,49.6208441388475,0.04173264287787458,-0.038006858068592365,54.032425049480715,55.06090207011859,51.97547100820493,电子,31645093447.18
2015-01-30,000157.SZ,0.022143918236176903,0.08140239777178734,0.8783924112731422,0.8649410618314513,-0.05210060267357833,-0.0945960012781803,0.6236326269858805,0.8172480207245543,-0.2748216327016958,25.67227655518576,2.4509803921568625,-22.3165,-0.3698,-9.6369,-75.0144,1.5783,-65.382,21.0188,407.346,-259.9226,-78.2278,2.3862,2.0103,0.4374,53.662,-14.7836,1.1705,0.99189627,0.93150685,1.19066148,1.31023218,1.21917358,0.89401645,0.03494176,0.20774547120308826,-0.36363636,43.459961611924506,69.25348494530097,8.373074505393466e+24,0.41294643,37.78476738504815,0.0105192817412422,-0.09156958790607188,45.57019696190682,42.355016237458464,52.00055841080349,机械设备,38317289357.16
2015-01-30,000166.SZ,0.007470920738314289,0.007470920865357338,0.14030895035972218,0.08598692185581959,-0.017666856716928896,-0.02566325983475319,0.023861281540157157,0.023861281540157157,-0.07394720869999642,,,,,,,,,,,,,,,,73.108,,2.8552,1.13239247,,,,,,0.02504368,0.2538226490989773,-0.68817204,,96.28825237280294,6.809200557468566e+24,,,-0.15690101265005602,-0.41961024015312376,28.204525878944487,43.233367264375,-1.8531568919165124,非银金融,55238464949.3
2015-01-30,000333.SZ,0.08098200067036034,0.04200179672435419,0.3008514109044779,0.3117715066447067,-0.08931659317285677,0.1459810355874403,1.0767112727364532,0.9555632471907809,0.009573993233572359,7.438601646685591,2.6640026643186183,18.9363,19.2048,5.497999999999999,43.9177,18.6797,-1164.8167,-484.61343939999995,38.0964,77.6114,43.9941,1.182,1.0261,0.0291,61.86,26.2664,1.8811,0.98459016,0.95393901,1.45847499,1.38068966,1.64143628,,0.08892128,0.1830386597289513,0.07368421,50.211599315996246,59.60220778782175,7.881851433587326e+24,1.4085415000000001,40.2521081174971,0.606635059247987,-0.4312484315189917,44.47554263053116,49.838330364942294,33.74996716170888,家用电器,67349360368.29
2015-01-30,000338.SZ,0.1012419952448194,0.06806448890634996,0.5883459692069358,0.6188822526967075,0.0977707187804171,0.1739058089431046,1.355754306296468,1.1115062585236872,0.15501105935860487,4.447374225465427,0.9527439024390244,28.7799,14.5846,4.0876,64.0522,56.8053,196.3336,86.155,-129.9576,147.7125,61.3627,1.4180000000000001,1.1293,0.89,67.1475,19.5791,2.6568,0.96969697,0.91620112,1.27688564,1.26592741,1.46079254,1.06800606,0.06925614,0.1904985331086705,-0.45614035,43.52076478669989,71.53762655751656,8.263442042425557e+24,0.84727377,33.54153100590512,0.08707035338093368,-0.13411932599635282,29.857856237407194,35.15423406710113,19.26510057801933,汽车,27449267434.88
