,calendarDate,isMonthEnd
30,2013-01-31,1
58,2013-02-28,1
87,2013-03-29,1
115,2013-04-26,1
150,2013-05-31,1
178,2013-06-28,1
211,2013-07-31,1
241,2013-08-30,1
272,2013-09-30,1
303,2013-10-31,1
332,2013-11-29,1
364,2013-12-31,1
394,2014-01-30,1
423,2014-02-28,1
454,2014-03-31,1
484,2014-04-30,1
514,2014-05-30,1
545,2014-06-30,1
576,2014-07-31,1
605,2014-08-29,1
637,2014-09-30,1
668,2014-10-31,1
696,2014-11-28,1
729,2014-12-31,1
759,2015-01-30,1
787,2015-02-27,1
819,2015-03-31,1
849,2015-04-30,1
878,2015-05-29,1
910,2015-06-30,1
941,2015-07-31,1
972,2015-08-31,1
1002,2015-09-30,1
1032,2015-10-30,1
1063,2015-11-30,1
1094,2015-12-31,1
1123,2016-01-29,1
1154,2016-02-29,1
1185,2016-03-31,1
1214,2016-04-29,1
1246,2016-05-31,1
1276,2016-06-30,1
1305,2016-07-29,1
1338,2016-08-31,1
1368,2016-09-30,1
1399,2016-10-31,1
1429,2016-11-30,1
1459,2016-12-30,1
1486,2017-01-26,1
1519,2017-02-28,1
1550,2017-03-31,1
1578,2017-04-28,1
1611,2017-05-31,1
1641,2017-06-30,1
1672,2017-07-31,1
1703,2017-08-31,1
1732,2017-09-29,1
1764,2017-10-31,1
1794,2017-11-30,1
1823,2017-12-29,1
1856,2018-01-31,1
1884,2018-02-28,1
1914,2018-03-30,1
1942,2018-04-27,1
1976,2018-05-31,1
2005,2018-06-29,1
2037,2018-07-31,1
2068,2018-08-31,1
2096,2018-09-28,1
2129,2018-10-31,1
2159,2018-11-30,1
2187,2018-12-28,1
