index,stock,tradeDate,return,class,factor
20274,600028.XSHG,27/04/2018,0.02026049,0,0.74753505
20275,600029.XSHG,27/04/2018,-0.03381643,0,1
20277,600031.XSHG,27/04/2018,-0.07224771,0,1
20279,600048.XSHG,27/04/2018,-0.06016756,0,1
20280,600050.XSHG,27/04/2018,-0.04903678,0,0.66754496
20282,600079.XSHG,27/04/2018,-0.05284281,0,1
20283,600085.XSHG,27/04/2018,0.14237384,1,1
20284,600104.XSHG,27/04/2018,0.13529596,1,1
20286,600111.XSHG,27/04/2018,-0.03665339,0,1
20287,600115.XSHG,27/04/2018,0.03954802,0,0.68896616
20288,600132.XSHG,27/04/2018,0.34952655,1,1
20289,600143.XSHG,27/04/2018,-0.02936097,0,1
20290,600150.XSHG,27/04/2018,-0.10401722,0,1
20291,600161.XSHG,27/04/2018,0.06989645,1,0.5226839
20292,600176.XSHG,27/04/2018,0.06123188,1,0.9994085
20293,600183.XSHG,27/04/2018,0.0528324,1,0.99933404
20294,600196.XSHG,27/04/2018,0.20358814,1,1
20295,600276.XSHG,27/04/2018,0.18715883,1,1
20297,600332.XSHG,27/04/2018,0.25518024,1,1
20298,600346.XSHG,27/04/2018,0.05953992,0,0.7299201
20299,600352.XSHG,27/04/2018,0.19724771,1,1
20300,600362.XSHG,27/04/2018,-0.03846154,0,1
20301,600383.XSHG,27/04/2018,-0.05173952,0,1
20302,600406.XSHG,27/04/2018,-0.0132948,0,1
20303,600426.XSHG,27/04/2018,0.16874398,1,0.9999999
20304,600436.XSHG,27/04/2018,0.19141879,1,0.9999999
20305,600438.XSHG,27/04/2018,-0.02992776,0,1
20306,600489.XSHG,27/04/2018,-0.01141553,0,0.90097374
20307,600519.XSHG,27/04/2018,0.13372979,1,0.9999999
20308,600547.XSHG,27/04/2018,0.01688674,0,0.99961615
20309,600570.XSHG,27/04/2018,-0.04790936,0,1
20310,600584.XSHG,27/04/2018,-0.15323563,0,1
20311,600585.XSHG,27/04/2018,0.00883913,0,0.99999976
20312,600588.XSHG,27/04/2018,-0.12673056,0,1
20313,600600.XSHG,27/04/2018,0.30179405,1,0.9999999
20314,600606.XSHG,27/04/2018,-0.07083333,0,1
20315,600655.XSHG,27/04/2018,0.07384615,1,0.9997975
20316,600660.XSHG,27/04/2018,0.1428051,1,1
20317,600690.XSHG,27/04/2018,0.17269545,1,1
20318,600741.XSHG,27/04/2018,0.1500676,1,1
20320,600760.XSHG,27/04/2018,-0.12098446,0,0.999961
20321,600763.XSHG,27/04/2018,0.08789497,1,0.9999989
20322,600795.XSHG,27/04/2018,0,0,1
20323,600809.XSHG,27/04/2018,0.21169393,1,0.99999964
20325,600845.XSHG,27/04/2018,-0.14341263,0,1
20326,600848.XSHG,27/04/2018,-0.07579227,0,1
20327,600872.XSHG,27/04/2018,0.22317597,1,0.99999976
20328,600886.XSHG,27/04/2018,0.1071953,1,1
20329,600887.XSHG,27/04/2018,0.18074581,1,1
20330,600893.XSHG,27/04/2018,-0.10290828,0,1
20331,600900.XSHG,27/04/2018,0.06207325,0,0.74507177
20336,601006.XSHG,27/04/2018,0.013269,1,0.87717205
20338,601012.XSHG,27/04/2018,-0.01268062,0,1
20339,601021.XSHG,27/04/2018,0.14462187,1,0.99999976
20340,601088.XSHG,27/04/2018,-0.02578797,0,1
20341,601100.XSHG,27/04/2018,0.06633499,1,0.9998983
20343,601111.XSHG,27/04/2018,-0.06063194,0,1
20344,601155.XSHG,27/04/2018,-0.07340849,0,1
20347,601186.XSHG,27/04/2018,-0.07467205,0,1
20350,601225.XSHG,27/04/2018,0.00625,0,0.999979
20352,601231.XSHG,27/04/2018,-0.06036036,0,1
20353,601238.XSHG,27/04/2018,-0.0099283,0,0.9999925
20358,601360.XSHG,27/04/2018,-0.06936888,0,1
20360,601390.XSHG,27/04/2018,0.00945946,0,1
20362,601600.XSHG,27/04/2018,-0.1108742,0,1
20364,601607.XSHG,27/04/2018,0.13350449,1,1
20365,601618.XSHG,27/04/2018,-0.00271003,0,0.9999554
20367,601633.XSHG,27/04/2018,0.01674419,1,0.55037045
20368,601668.XSHG,27/04/2018,-0.01907032,0,1
20369,601669.XSHG,27/04/2018,-0.08176101,0,1
20371,601766.XSHG,27/04/2018,-0.05274043,0,1
20373,601799.XSHG,27/04/2018,0.20449264,1,1
20374,601800.XSHG,27/04/2018,-0.08095952,0,1
20375,601808.XSHG,27/04/2018,-0.08479021,0,1
20378,601857.XSHG,27/04/2018,0.04313725,0,1
20379,601877.XSHG,27/04/2018,-0.03175723,0,1
20382,601888.XSHG,27/04/2018,0.2992126,1,1
20383,601898.XSHG,27/04/2018,-0.01402806,0,0.99999917
20384,601899.XSHG,27/04/2018,-0.08980583,0,1
20386,601919.XSHG,27/04/2018,0.08510638,1,1
20387,601933.XSHG,27/04/2018,0.0803769,1,1
20389,601966.XSHG,27/04/2018,0.12,1,1
20390,601985.XSHG,27/04/2018,-0.08245877,0,1
20392,601989.XSHG,27/04/2018,-0.10784314,0,1
20394,603019.XSHG,27/04/2018,-0.0970795,0,1
20395,603160.XSHG,27/04/2018,-0.25296029,0,1
20396,603233.XSHG,27/04/2018,0.12602697,1,1
20398,603260.XSHG,27/04/2018,0.1183372,1,1
20399,603288.XSHG,27/04/2018,0.20929482,1,1
20400,603338.XSHG,27/04/2018,0.11147375,1,1
20401,603369.XSHG,27/04/2018,0.42828141,1,1
20404,603517.XSHG,27/04/2018,0.19980638,1,1
20405,603658.XSHG,27/04/2018,0.18994242,1,1
20407,603799.XSHG,27/04/2018,-0.04101294,0,1
20408,603806.XSHG,27/04/2018,0.07307932,1,0.99930274
20409,603833.XSHG,27/04/2018,0.0496376,1,0.8966835
20410,603882.XSHG,27/04/2018,0.03037383,1,0.9999939
20411,603899.XSHG,27/04/2018,0.11879596,1,0.99999976
20413,603986.XSHG,27/04/2018,-0.1283546,0,1
20414,603993.XSHG,27/04/2018,-0.06200528,0,1
20416,000002.XSHE,31/05/2018,-0.03868699,0,1
20419,000069.XSHE,31/05/2018,-0.08248731,0,1
20420,000100.XSHE,31/05/2018,-0.06752412,0,1
20421,000157.XSHE,31/05/2018,-0.01438849,0,1
20424,000333.XSHE,31/05/2018,-0.01304101,0,0.9999002
20425,000338.XSHE,31/05/2018,0.00229095,0,1
20426,000425.XSHE,31/05/2018,0.03163017,1,0.9916671
20427,000538.XSHE,31/05/2018,-0.06257669,0,1
20428,000568.XSHE,31/05/2018,-0.11924747,0,1
20429,000596.XSHE,31/05/2018,0.01470405,1,0.7768857
20430,000625.XSHE,31/05/2018,-0.11242604,0,1
20431,000651.XSHE,31/05/2018,-0.00736842,0,0.6013911
20432,000661.XSHE,31/05/2018,0.06099436,1,0.99999535
20433,000703.XSHE,31/05/2018,-0.10415412,0,1
20434,000708.XSHE,31/05/2018,-0.05280436,0,1
20435,000725.XSHE,31/05/2018,-0.12802858,0,1
20436,000768.XSHE,31/05/2018,-0.0084419,0,1
20439,000786.XSHE,31/05/2018,-0.117994,0,1
20440,000800.XSHE,31/05/2018,-0.15860517,0,1
20441,000858.XSHE,31/05/2018,-0.03773107,1,0.64943916
20442,000876.XSHE,31/05/2018,-0.11079944,0,1
20443,000895.XSHE,31/05/2018,-0.09863481,0,1
