,stock,tradeDate,rets,factor
2021,000063.XSHE,2011-03-31,0,0.373962413636827
2022,000069.XSHE,2011-03-31,1,0.3927615153068322
2023,000100.XSHE,2011-03-31,1,0.4206443406305999
2024,000157.XSHE,2011-03-31,1,0.4334678016552598
2025,000338.XSHE,2011-03-31,0,0.4537391936709085
2026,000425.XSHE,2011-03-31,0,0.46135455065555975
2027,000538.XSHE,2011-03-31,1,0.31909706446319364
2028,000568.XSHE,2011-03-31,1,0.477527314439978
2029,000625.XSHE,2011-03-31,1,0.4203195701143529
2030,000651.XSHE,2011-03-31,0,0.44961385671148624
2031,000725.XSHE,2011-03-31,0,0.4235701825117375
2035,000858.XSHE,2011-03-31,1,0.4360073577477966
2036,000876.XSHE,2011-03-31,0,0.4031271398366117
2038,002007.XSHE,2011-03-31,0,0.3658944809016866
2039,002024.XSHE,2011-03-31,1,0.36243878540215557
2041,002202.XSHE,2011-03-31,0,0.4765686410079575
2042,002241.XSHE,2011-03-31,0,0.4455248754292751
2043,002304.XSHE,2011-03-31,1,0.4259026575267324
2044,002415.XSHE,2011-03-31,0,0.36038549808291975
2046,600009.XSHG,2011-03-31,1,0.4038120716162923
2047,600010.XSHG,2011-03-31,0,0.31878320470176186
2050,600019.XSHG,2011-03-31,0,0.4836228318885793
2051,600028.XSHG,2011-03-31,1,0.4172026598284379
2052,600029.XSHG,2011-03-31,1,0.3562782580892836
2054,600031.XSHG,2011-03-31,1,0.5565476430174444
2056,600048.XSHG,2011-03-31,0,0.4220066593795421
2057,600050.XSHG,2011-03-31,1,0.4389254954087534
2058,600085.XSHG,2011-03-31,1,0.4614446666012352
2061,600111.XSHG,2011-03-31,1,0.5307635878799859
2062,600115.XSHG,2011-03-31,1,0.3534729749535096
2063,600196.XSHG,2011-03-31,0,0.47617626796172574
2064,600276.XSHG,2011-03-31,1,0.3467628487206425
2065,600309.XSHG,2011-03-31,0,0.5222561608730808
2066,600352.XSHG,2011-03-31,0,0.4285097322562352
2067,600362.XSHG,2011-03-31,0,0.3948066946567708
2068,600383.XSHG,2011-03-31,0,0.4018565771652839
2069,600406.XSHG,2011-03-31,1,0.3992143534398045
2070,600489.XSHG,2011-03-31,1,0.4874026818801931
2071,600519.XSHG,2011-03-31,1,0.44424784125500905
2072,600547.XSHG,2011-03-31,0,0.4623182800517972
2073,600585.XSHG,2011-03-31,0,0.48774296206612683
2074,600588.XSHG,2011-03-31,0,0.4821247915321413
2075,600660.XSHG,2011-03-31,0,0.5388499841572291
2076,600690.XSHG,2011-03-31,1,0.3630578541176846
2078,600795.XSHG,2011-03-31,1,0.39535614877841174
2080,600887.XSHG,2011-03-31,1,0.41693234747550606
2081,600893.XSHG,2011-03-31,0,0.43293332859422295
2082,600900.XSHG,2011-03-31,1,0.4425137687615221
2084,601006.XSHG,2011-03-31,1,0.4713553691114112
2086,601088.XSHG,2011-03-31,1,0.4005725907153835
2087,601111.XSHG,2011-03-31,1,0.3815196940720416
2090,601186.XSHG,2011-03-31,0,0.37966789081848945
2095,601390.XSHG,2011-03-31,1,0.35736019817714487
2097,601600.XSHG,2011-03-31,0,0.44218147012350373
2099,601607.XSHG,2011-03-31,1,0.4295899429958238
2100,601618.XSHG,2011-03-31,1,0.5054678500714604
2102,601668.XSHG,2011-03-31,1,0.39672779824419613
2104,601766.XSHG,2011-03-31,0,0.431198415003132
2106,601857.XSHG,2011-03-31,1,0.41809362591849053
2107,601888.XSHG,2011-03-31,1,0.3842734641018758
2108,601899.XSHG,2011-03-31,1,0.4510010868489248
2109,601933.XSHG,2011-03-31,0,0.40618899883389487
2114,000596.XSHE,2011-03-31,1,0.39098398299178383
2115,000661.XSHE,2011-03-31,0,0.3990950095165836
2116,000703.XSHE,2011-03-31,1,0.5093277335859926
2117,000786.XSHE,2011-03-31,0,0.46539071132736404
2119,000963.XSHE,2011-03-31,0,0.3621441081044501
2120,002001.XSHE,2011-03-31,0,0.46384890340923607
2121,002008.XSHE,2011-03-31,0,0.39984159206406217
2123,002032.XSHE,2011-03-31,1,0.49444269243626165
2124,002044.XSHE,2011-03-31,0,0.5093277335859926
2125,002050.XSHE,2011-03-31,0,0.5174372073663325
2127,002179.XSHE,2011-03-31,0,0.4630997985879122
2128,002230.XSHE,2011-03-31,0,0.5061816286527541
2129,002236.XSHE,2011-03-31,1,0.45081162519732126
2130,002252.XSHE,2011-03-31,0,0.4621373520111354
2131,002271.XSHE,2011-03-31,0,0.3711530980153077
2132,002311.XSHE,2011-03-31,1,0.28670255159099595
2133,002352.XSHE,2011-03-31,0,0.3372234059357244
2134,002410.XSHE,2011-03-31,1,0.4055349562707575
2135,002460.XSHE,2011-03-31,0,0.4127729648361768
2136,002475.XSHE,2011-03-31,1,0.36561751891338495
2137,002493.XSHE,2011-03-31,1,0.45701724973886404
2139,300003.XSHE,2011-03-31,0,0.3587700901321804
2140,300015.XSHE,2011-03-31,1,0.3610452314600046
2143,300122.XSHE,2011-03-31,0,0.4529625343887594
2144,300124.XSHE,2011-03-31,1,0.4127666238360021
2145,300142.XSHE,2011-03-31,0,0.47737081207723925
2147,600011.XSHG,2011-03-31,1,0.3817197979313277
2148,600018.XSHG,2011-03-31,1,0.5334967578736689
2149,600061.XSHG,2011-03-31,1,0.46411374857446824
2150,600176.XSHG,2011-03-31,0,0.482242055022065
2151,600183.XSHG,2011-03-31,0,0.46395785366329007
