,stock,tradeDate,rets,factor
2021,000063.XSHE,2011-03-31,0,0.39992685950457213
2022,000069.XSHE,2011-03-31,1,0.351305024485683
2023,000100.XSHE,2011-03-31,1,0.39490298527551543
2024,000157.XSHE,2011-03-31,1,0.463069214677691
2025,000338.XSHE,2011-03-31,0,0.4496135670259123
2026,000425.XSHE,2011-03-31,0,0.4535712248219264
2027,000538.XSHE,2011-03-31,1,0.2896140180051301
2028,000568.XSHE,2011-03-31,1,0.4647665927209838
2029,000625.XSHE,2011-03-31,1,0.4595583389596501
2030,000651.XSHE,2011-03-31,0,0.41886750188863586
2031,000725.XSHE,2011-03-31,0,0.4214050481644937
2035,000858.XSHE,2011-03-31,1,0.4359147156869833
2036,000876.XSHE,2011-03-31,0,0.39857902819782787
2038,002007.XSHE,2011-03-31,0,0.391718341283807
2039,002024.XSHE,2011-03-31,1,0.36881393990436956
2041,002202.XSHE,2011-03-31,0,0.44639877609306017
2042,002241.XSHE,2011-03-31,0,0.48634191764693696
2043,002304.XSHE,2011-03-31,1,0.3917937858379843
2044,002415.XSHE,2011-03-31,0,0.3526472661384833
2046,600009.XSHG,2011-03-31,1,0.415454388416485
2047,600010.XSHG,2011-03-31,0,0.36813004370469676
2050,600019.XSHG,2011-03-31,0,0.47582628848913344
2051,600028.XSHG,2011-03-31,1,0.4158664072311295
2052,600029.XSHG,2011-03-31,1,0.37250418971467797
2054,600031.XSHG,2011-03-31,1,0.5226855170445132
2056,600048.XSHG,2011-03-31,0,0.34860476121746004
2057,600050.XSHG,2011-03-31,1,0.4189581536807869
2058,600085.XSHG,2011-03-31,1,0.47215130485292933
2061,600111.XSHG,2011-03-31,1,0.47785518330454757
2062,600115.XSHG,2011-03-31,1,0.3744931779637786
2063,600196.XSHG,2011-03-31,0,0.44245807433398887
2064,600276.XSHG,2011-03-31,1,0.352767438595577
2065,600309.XSHG,2011-03-31,0,0.5050887531705153
2066,600352.XSHG,2011-03-31,0,0.43619997987036846
2067,600362.XSHG,2011-03-31,0,0.3979504346362486
2068,600383.XSHG,2011-03-31,0,0.3624470709375616
2069,600406.XSHG,2011-03-31,1,0.48802302657683094
2070,600489.XSHG,2011-03-31,1,0.5053745164192711
2071,600519.XSHG,2011-03-31,1,0.5189983276111274
2072,600547.XSHG,2011-03-31,0,0.516100659542597
2073,600585.XSHG,2011-03-31,0,0.5299110884770386
2074,600588.XSHG,2011-03-31,0,0.48674289493744305
2075,600660.XSHG,2011-03-31,0,0.5402389034900297
2076,600690.XSHG,2011-03-31,1,0.3417096499285481
2078,600795.XSHG,2011-03-31,1,0.4085405021045744
2080,600887.XSHG,2011-03-31,1,0.3547764903285075
2081,600893.XSHG,2011-03-31,0,0.41864785325321047
2082,600900.XSHG,2011-03-31,1,0.4617473572084822
2084,601006.XSHG,2011-03-31,1,0.48714833181846445
2086,601088.XSHG,2011-03-31,1,0.4600046153578753
2087,601111.XSHG,2011-03-31,1,0.38976373463164166
2090,601186.XSHG,2011-03-31,0,0.40522845109815653
2095,601390.XSHG,2011-03-31,1,0.3685483276545009
2097,601600.XSHG,2011-03-31,0,0.43313418548388893
2099,601607.XSHG,2011-03-31,1,0.42547670910378793
2100,601618.XSHG,2011-03-31,1,0.5177999166470744
2102,601668.XSHG,2011-03-31,1,0.4184365916835587
2104,601766.XSHG,2011-03-31,0,0.4209301934661694
2106,601857.XSHG,2011-03-31,1,0.43525813755123416
2107,601888.XSHG,2011-03-31,1,0.36518561950608663
2108,601899.XSHG,2011-03-31,1,0.5158484594071902
2109,601933.XSHG,2011-03-31,0,0.44900881114740143
