,stock,tradeDate,rets,factor
2021,000063.XSHE,2011-03-31,0,0.38309018098852315
2022,000069.XSHE,2011-03-31,1,0.4569020852190227
2023,000100.XSHE,2011-03-31,1,0.4592215310362903
2024,000157.XSHE,2011-03-31,1,0.4120694719887603
2025,000338.XSHE,2011-03-31,0,0.4381191367313238
2026,000425.XSHE,2011-03-31,0,0.4039961324173231
2027,000538.XSHE,2011-03-31,1,0.37317654299060893
2028,000568.XSHE,2011-03-31,1,0.5321841575634395
2029,000625.XSHE,2011-03-31,1,0.3215620349831417
2030,000651.XSHE,2011-03-31,0,0.38278814907695224
2031,000725.XSHE,2011-03-31,0,0.4007851203910539
2035,000858.XSHE,2011-03-31,1,0.43690660141221116
2036,000876.XSHE,2011-03-31,0,0.41170440047971774
2038,002007.XSHE,2011-03-31,0,0.496069252289859
2039,002024.XSHE,2011-03-31,1,0.3876714353404376
2041,002202.XSHE,2011-03-31,0,0.4154854643531583
2042,002241.XSHE,2011-03-31,0,0.45308824487517074
2043,002304.XSHE,2011-03-31,1,0.45124635247192396
2044,002415.XSHE,2011-03-31,0,0.3706187830701851
2046,600009.XSHG,2011-03-31,1,0.41243658926205945
2047,600010.XSHG,2011-03-31,0,0.3559160902852195
2050,600019.XSHG,2011-03-31,0,0.46403893399849006
2051,600028.XSHG,2011-03-31,1,0.44905452381455874
2052,600029.XSHG,2011-03-31,1,0.31364003178580174
2054,600031.XSHG,2011-03-31,1,0.44927546952918507
2056,600048.XSHG,2011-03-31,0,0.3652123805427914
2057,600050.XSHG,2011-03-31,1,0.4797426191386973
2058,600085.XSHG,2011-03-31,1,0.367230245282966
2061,600111.XSHG,2011-03-31,1,0.451537451976882
2062,600115.XSHG,2011-03-31,1,0.29062990642836734
2063,600196.XSHG,2011-03-31,0,0.5832018814948561
2064,600276.XSHG,2011-03-31,1,0.38397861352559837
2065,600309.XSHG,2011-03-31,0,0.49138594047470807
2066,600352.XSHG,2011-03-31,0,0.47482129277458796
2067,600362.XSHG,2011-03-31,0,0.3917467458777893
2068,600383.XSHG,2011-03-31,0,0.4200432910428213
2069,600406.XSHG,2011-03-31,1,0.4664275252115046
2070,600489.XSHG,2011-03-31,1,0.4453701681867828
2071,600519.XSHG,2011-03-31,1,0.5419398430227155
2072,600547.XSHG,2011-03-31,0,0.39334549353430703
2073,600585.XSHG,2011-03-31,0,0.46392026545055776
2074,600588.XSHG,2011-03-31,0,0.5596841911547834
2075,600660.XSHG,2011-03-31,0,0.5323536509410528
2076,600690.XSHG,2011-03-31,1,0.37655455820528694
2078,600795.XSHG,2011-03-31,1,0.3862879290636727
2080,600887.XSHG,2011-03-31,1,0.3069202012235934
2081,600893.XSHG,2011-03-31,0,0.39360049149912657
2082,600900.XSHG,2011-03-31,1,0.4663332354825797
2084,601006.XSHG,2011-03-31,1,0.55248179602007
2086,601088.XSHG,2011-03-31,1,0.4497404096184926
2087,601111.XSHG,2011-03-31,1,0.4238583381804973
2090,601186.XSHG,2011-03-31,0,0.4063918702308277
2095,601390.XSHG,2011-03-31,1,0.4085243942160808
2097,601600.XSHG,2011-03-31,0,0.5103682514144454
2099,601607.XSHG,2011-03-31,1,0.39865777521492196
2100,601618.XSHG,2011-03-31,1,0.4799961847559986
2102,601668.XSHG,2011-03-31,1,0.3460038215165044
2104,601766.XSHG,2011-03-31,0,0.45155562317840253
2106,601857.XSHG,2011-03-31,1,0.3807011556072871
2107,601888.XSHG,2011-03-31,1,0.43332765957051506
2108,601899.XSHG,2011-03-31,1,0.4951636691832416
2109,601933.XSHG,2011-03-31,0,0.4035948372443787
2114,000596.XSHE,2011-03-31,1,0.45006885661845275
2115,000661.XSHE,2011-03-31,0,0.4325233294483727
2116,000703.XSHE,2011-03-31,1,0.430757028173157
2117,000786.XSHE,2011-03-31,0,0.48939024273357523
2119,000963.XSHE,2011-03-31,0,0.40603409525793055
2120,002001.XSHE,2011-03-31,0,0.41787726471679615
2121,002008.XSHE,2011-03-31,0,0.36629813795771515
2123,002032.XSHE,2011-03-31,1,0.45441801122370284
2124,002044.XSHE,2011-03-31,0,0.4307570281731569
2125,002050.XSHE,2011-03-31,0,0.4836122885046592
2127,002179.XSHE,2011-03-31,0,0.48220132453956316
2128,002230.XSHE,2011-03-31,0,0.5094238749682307
2129,002236.XSHE,2011-03-31,1,0.4649762334639188
2130,002252.XSHE,2011-03-31,0,0.4908264079180758
2131,002271.XSHE,2011-03-31,0,0.3431531836334803
2132,002311.XSHE,2011-03-31,1,0.35570407945280724
2133,002352.XSHE,2011-03-31,0,0.29048111859282005
2134,002410.XSHE,2011-03-31,1,0.34835488210205373
2135,002460.XSHE,2011-03-31,0,0.42494998149454305
2136,002475.XSHE,2011-03-31,1,0.30903430733348974
2137,002493.XSHE,2011-03-31,1,0.4731171505014119
2139,300003.XSHE,2011-03-31,0,0.4479669042012605
2140,300015.XSHE,2011-03-31,1,0.32120623467357656
2143,300122.XSHE,2011-03-31,0,0.3355276648375627
2144,300124.XSHE,2011-03-31,1,0.38218156287248656
2145,300142.XSHE,2011-03-31,0,0.49742318846662126
2147,600011.XSHG,2011-03-31,1,0.3894922094355084
2148,600018.XSHG,2011-03-31,1,0.5543080089307572
2149,600061.XSHG,2011-03-31,1,0.3118872443090798
2150,600176.XSHG,2011-03-31,0,0.4740906732927092
2151,600183.XSHG,2011-03-31,0,0.514819758520237
2152,600332.XSHG,2011-03-31,0,0.43862539246587257
2154,600436.XSHG,2011-03-31,1,0.5186261770896101
2155,600438.XSHG,2011-03-31,0,0.4764836895576444
2156,600570.XSHG,2011-03-31,0,0.4714891727835904
2157,600606.XSHG,2011-03-31,0,0.4937354724049412
2158,600655.XSHG,2011-03-31,1,0.4712841650256403
2160,600809.XSHG,2011-03-31,1,0.4219336298255948
2161,600886.XSHG,2011-03-31,1,0.4830586152679599
2164,601808.XSHG,2011-03-31,0,0.5179583104040493
2165,601877.XSHG,2011-03-31,1,0.4603515287930878
2166,601919.XSHG,2011-03-31,0,0.4890520420096671
2169,000708.XSHE,2011-03-31,1,0.47525462584907563
2170,000800.XSHE,2011-03-31,0,0.43197044316783695
2172,002049.XSHE,2011-03-31,0,0.42408885645999017
2173,002064.XSHE,2011-03-31,0,0.4359875783135084
2174,002129.XSHE,2011-03-31,0,0.5636885673098277
2175,002157.XSHE,2011-03-31,0,0.48252335412752506
2176,002371.XSHE,2011-03-31,0,0.49086122460185283
2177,002414.XSHE,2011-03-31,0,0.36380247566067087
2179,002466.XSHE,2011-03-31,0,0.3401445494690299
2181,300014.XSHE,2011-03-31,0,0.41386870600361003
2182,600079.XSHG,2011-03-31,1,0.37168553546585875
2183,600132.XSHG,2011-03-31,0,0.4037379756049347
2184,600143.XSHG,2011-03-31,0,0.3238667354699962
2185,600150.XSHG,2011-03-31,0,0.5133338482714892
2186,600161.XSHG,2011-03-31,0,0.4649223706670897
2187,600426.XSHG,2011-03-31,1,0.4367143331241104
2188,600584.XSHG,2011-03-31,0,0.4020938318468773
2189,600600.XSHG,2011-03-31,1,0.40255100943872557
2191,600763.XSHG,2011-03-31,0,0.45968142607604034
2192,600845.XSHG,2011-03-31,0,0.4461702789487758
2193,600848.XSHG,2011-03-31,0,0.5504768459574357
2196,601898.XSHG,2011-03-31,1,0.46306822077142235
2198,000002.XSHE,2011-04-29,1,0.4155923605175086
2199,000063.XSHE,2011-04-29,1,0.38381774890693704
2200,000069.XSHE,2011-04-29,0,0.46452802436250074
2201,000100.XSHE,2011-04-29,1,0.3921586199429316
2202,000157.XSHE,2011-04-29,1,0.41522005227088105
