,stock,tradeDate,rets,factor
2021,000063.XSHE,2011-03-31,0,0.43672237800406194
2022,000069.XSHE,2011-03-31,1,0.39686009761384095
2023,000100.XSHE,2011-03-31,1,0.4693386285334634
2024,000157.XSHE,2011-03-31,1,0.45543223639987684
2025,000338.XSHE,2011-03-31,0,0.4620996660292888
2026,000425.XSHE,2011-03-31,0,0.44311382934488225
2027,000538.XSHE,2011-03-31,1,0.3961615743072033
2028,000568.XSHE,2011-03-31,1,0.4446444608463911
2029,000625.XSHE,2011-03-31,1,0.41315770937483565
2030,000651.XSHE,2011-03-31,0,0.4393236286955454
2031,000725.XSHE,2011-03-31,0,0.46022098463107414
2035,000858.XSHE,2011-03-31,1,0.42144975043260446
2036,000876.XSHE,2011-03-31,0,0.40635196018189657
2038,002007.XSHE,2011-03-31,0,0.4437064050090523
2039,002024.XSHE,2011-03-31,1,0.4310817460233677
2041,002202.XSHE,2011-03-31,0,0.44203279776262344
2042,002241.XSHE,2011-03-31,0,0.4245695850110703
2043,002304.XSHE,2011-03-31,1,0.3942107660871523
2044,002415.XSHE,2011-03-31,0,0.4471980944156586
2046,600009.XSHG,2011-03-31,1,0.4060443840823385
2047,600010.XSHG,2011-03-31,0,0.417831475748804
2050,600019.XSHG,2011-03-31,0,0.4193268608790065
2051,600028.XSHG,2011-03-31,1,0.40384651785014214
2052,600029.XSHG,2011-03-31,1,0.40833937657753844
2054,600031.XSHG,2011-03-31,1,0.475071257006731
2056,600048.XSHG,2011-03-31,0,0.37790019404245795
2057,600050.XSHG,2011-03-31,1,0.44231383552335024
2058,600085.XSHG,2011-03-31,1,0.4641200869890956
2061,600111.XSHG,2011-03-31,1,0.456812260166894
2062,600115.XSHG,2011-03-31,1,0.4063071084251958
2063,600196.XSHG,2011-03-31,0,0.46066643614080255
2064,600276.XSHG,2011-03-31,1,0.4263105972535435
2065,600309.XSHG,2011-03-31,0,0.45956925646742114
2066,600352.XSHG,2011-03-31,0,0.4303321012414417
2067,600362.XSHG,2011-03-31,0,0.3865492673151874
2068,600383.XSHG,2011-03-31,0,0.41481055178122755
2069,600406.XSHG,2011-03-31,1,0.3874756411923915
2070,600489.XSHG,2011-03-31,1,0.4041809131669411
2071,600519.XSHG,2011-03-31,1,0.4704942404357186
2072,600547.XSHG,2011-03-31,0,0.4422046813309276
2073,600585.XSHG,2011-03-31,0,0.457652394182945
2074,600588.XSHG,2011-03-31,0,0.4279371341054524
2075,600660.XSHG,2011-03-31,0,0.42283827191078277
2076,600690.XSHG,2011-03-31,1,0.45479541809188734
2078,600795.XSHG,2011-03-31,1,0.4331947606252975
2080,600887.XSHG,2011-03-31,1,0.5
2081,600893.XSHG,2011-03-31,0,0.4117648312865015
2082,600900.XSHG,2011-03-31,1,0.4628760580985599
2084,601006.XSHG,2011-03-31,1,0.42259347106572215
2086,601088.XSHG,2011-03-31,1,0.4490959363039429
2087,601111.XSHG,2011-03-31,1,0.47533589146367605
2090,601186.XSHG,2011-03-31,0,0.42767391596040094
2095,601390.XSHG,2011-03-31,1,0.38676695197945904
2097,601600.XSHG,2011-03-31,0,0.4381328861332989
2099,601607.XSHG,2011-03-31,1,0.453659552544963
2100,601618.XSHG,2011-03-31,1,0.4655975838985866
2102,601668.XSHG,2011-03-31,1,0.476700203135643
2104,601766.XSHG,2011-03-31,0,0.4187116688471833
2106,601857.XSHG,2011-03-31,1,0.4425831175384378
