,calendarDate,isMonthEnd
28,2010-01-29,1
56,2010-02-26,1
89,2010-03-31,1
119,2010-04-30,1
150,2010-05-31,1
180,2010-06-30,1
210,2010-07-30,1
242,2010-08-31,1
272,2010-09-30,1
301,2010-10-29,1
333,2010-11-30,1
364,2010-12-31,1
395,2011-01-31,1
423,2011-02-28,1
454,2011-03-31,1
483,2011-04-29,1
515,2011-05-31,1
545,2011-06-30,1
574,2011-07-29,1
607,2011-08-31,1
637,2011-09-30,1
668,2011-10-31,1
698,2011-11-30,1
728,2011-12-30,1
760,2012-01-31,1
789,2012-02-29,1
819,2012-03-30,1
847,2012-04-27,1
881,2012-05-31,1
910,2012-06-29,1
942,2012-07-31,1
973,2012-08-31,1
1001,2012-09-28,1
1034,2012-10-31,1
1064,2012-11-30,1
1095,2012-12-31,1
1126,2013-01-31,1
1154,2013-02-28,1
1183,2013-03-29,1
1211,2013-04-26,1
1246,2013-05-31,1
1274,2013-06-28,1
1307,2013-07-31,1
1337,2013-08-30,1
1368,2013-09-30,1
1399,2013-10-31,1
1428,2013-11-29,1
1460,2013-12-31,1
1490,2014-01-30,1
1519,2014-02-28,1
1550,2014-03-31,1
1580,2014-04-30,1
1610,2014-05-30,1
1641,2014-06-30,1
1672,2014-07-31,1
1701,2014-08-29,1
1733,2014-09-30,1
1764,2014-10-31,1
1792,2014-11-28,1
1825,2014-12-31,1
1855,2015-01-30,1
1883,2015-02-27,1
1915,2015-03-31,1
1945,2015-04-30,1
1974,2015-05-29,1
2006,2015-06-30,1
2037,2015-07-31,1
2068,2015-08-31,1
2098,2015-09-30,1
2128,2015-10-30,1
2159,2015-11-30,1
2190,2015-12-31,1
2219,2016-01-29,1
2250,2016-02-29,1
2281,2016-03-31,1
2310,2016-04-29,1
2342,2016-05-31,1
2372,2016-06-30,1
2401,2016-07-29,1
2434,2016-08-31,1
2464,2016-09-30,1
2495,2016-10-31,1
2525,2016-11-30,1
2555,2016-12-30,1
2582,2017-01-26,1
2615,2017-02-28,1
2646,2017-03-31,1
2674,2017-04-28,1
2707,2017-05-31,1
2737,2017-06-30,1
2768,2017-07-31,1
2799,2017-08-31,1
2828,2017-09-29,1
2860,2017-10-31,1
2890,2017-11-30,1
2919,2017-12-29,1
2952,2018-01-31,1
2980,2018-02-28,1
3010,2018-03-30,1
3038,2018-04-27,1
3072,2018-05-31,1
3101,2018-06-29,1
3133,2018-07-31,1
3164,2018-08-31,1
3192,2018-09-28,1
3225,2018-10-31,1
3255,2018-11-30,1
3283,2018-12-28,1
3317,2019-01-31,1
3345,2019-02-28,1
3374,2019-03-29,1
3406,2019-04-30,1
3437,2019-05-31,1
3465,2019-06-28,1
3498,2019-07-31,1
3528,2019-08-30,1
3559,2019-09-30,1
3590,2019-10-31,1
3619,2019-11-29,1
3651,2019-12-31,1
3674,2020-01-23,1
3710,2020-02-28,1
3742,2020-03-31,1
3772,2020-04-30,1
3801,2020-05-29,1
3833,2020-06-30,1
3864,2020-07-31,1
3895,2020-08-31,1
3925,2020-09-30,1
3955,2020-10-30,1
3986,2020-11-30,1
4017,2020-12-31,1
4046,2021-01-29,1
4074,2021-02-26,1
4107,2021-03-31,1
4137,2021-04-30,1
4168,2021-05-31,1
4198,2021-06-30,1
4228,2021-07-30,1
4260,2021-08-31,1
4290,2021-09-30,1
4319,2021-10-29,1
4351,2021-11-30,1
4382,2021-12-31,1
