,stock,tradeDate,rets,factor
2395,000002.XSHE,2014-03-31,0,0.3861879462583721
2396,000063.XSHE,2014-03-31,1,0.3867251234808589
2397,000066.XSHE,2014-03-31,0,0.38059699387137014
2398,000069.XSHE,2014-03-31,1,0.3904181785717685
2399,000100.XSHE,2014-03-31,0,0.4095426531990139
2400,000157.XSHE,2014-03-31,0,0.3909515871352842
2401,000301.XSHE,2014-03-31,0,0.39160042657755106
2402,000333.XSHE,2014-03-31,1,0.3901030393037078
2403,000338.XSHE,2014-03-31,1,0.39110608961183585
2404,000425.XSHE,2014-03-31,0,0.3777399985775366
2405,000538.XSHE,2014-03-31,1,0.3910080828990533
2406,000568.XSHE,2014-03-31,0,0.3925050248432611
2407,000596.XSHE,2014-03-31,1,0.3875222013924041
2408,000625.XSHE,2014-03-31,1,0.38454917807211514
2409,000651.XSHE,2014-03-31,1,0.3881814783143014
2410,000661.XSHE,2014-03-31,0,0.4542816795765079
2411,000703.XSHE,2014-03-31,0,0.39019792845447454
2412,000708.XSHE,2014-03-31,0,0.38875193109716377
2413,000725.XSHE,2014-03-31,0,0.3866356195479893
2414,000768.XSHE,2014-03-31,1,0.3912134167747192
2417,000786.XSHE,2014-03-31,0,0.39031706379306563
2418,000800.XSHE,2014-03-31,0,0.3879151328454288
2419,000858.XSHE,2014-03-31,1,0.4023770582410591
2420,000876.XSHE,2014-03-31,1,0.4001387703995493
2421,000895.XSHE,2014-03-31,0,0.3909739162134574
2422,000938.XSHE,2014-03-31,0,0.4038427143865759
2423,000963.XSHE,2014-03-31,1,0.41381552186315645
2424,000977.XSHE,2014-03-31,0,0.40484462650246467
2425,002001.XSHE,2014-03-31,1,0.4206897282141441
2426,002007.XSHE,2014-03-31,0,0.4068762575515647
2427,002008.XSHE,2014-03-31,1,0.40212740504398803
2428,002024.XSHE,2014-03-31,0,0.3928187361058192
2429,002027.XSHE,2014-03-31,1,0.37592088062633827
2430,002032.XSHE,2014-03-31,0,0.3888287972558412
2431,002044.XSHE,2014-03-31,0,0.3891518676930473
2432,002049.XSHE,2014-03-31,1,0.457301506409594
2433,002050.XSHE,2014-03-31,1,0.38895595061362276
2434,002064.XSHE,2014-03-31,1,0.38842800726041193
2435,002120.XSHE,2014-03-31,0,0.3891518676929714
2436,002129.XSHE,2014-03-31,0,0.48580821290401943
2438,002157.XSHE,2014-03-31,1,0.4168587523183382
2439,002179.XSHE,2014-03-31,0,0.3995756848825536
2440,002202.XSHE,2014-03-31,0,0.41710125636129014
2441,002230.XSHE,2014-03-31,0,0.4251591898809272
2442,002236.XSHE,2014-03-31,1,0.38344551504748214
2443,002241.XSHE,2014-03-31,1,0.3933891795011749
2444,002252.XSHE,2014-03-31,1,0.453141099953779
2445,002271.XSHE,2014-03-31,1,0.38893734643103456
2446,002304.XSHE,2014-03-31,1,0.392046380983079
2447,002311.XSHE,2014-03-31,1,0.39877545190130964
2448,002352.XSHE,2014-03-31,0,0.38901874989128155
2449,002371.XSHE,2014-03-31,1,0.394701371285233
2450,002410.XSHE,2014-03-31,0,0.39731632560556834
2451,002414.XSHE,2014-03-31,0,0.3968943544448195
2452,002415.XSHE,2014-03-31,1,0.3912715402718526
2453,002459.XSHE,2014-03-31,1,0.42828132472278224
2454,002460.XSHE,2014-03-31,1,0.39449565855845226
2455,002466.XSHE,2014-03-31,0,0.4260350031408185
2456,002475.XSHE,2014-03-31,1,0.3990986550294325
2457,002493.XSHE,2014-03-31,0,0.3915237424049247
2458,002555.XSHE,2014-03-31,0,0.4083066828974758
2459,002568.XSHE,2014-03-31,1,0.4201863629735367
2460,002594.XSHE,2014-03-31,0,0.4159868897809
2461,002600.XSHE,2014-03-31,1,0.4185274603900608
2462,002601.XSHE,2014-03-31,1,0.38839211764168996
2463,002602.XSHE,2014-03-31,0,0.3855744914538938
2464,002607.XSHE,2014-03-31,0,0.3959259426142538
2465,002624.XSHE,2014-03-31,1,0.39104946493060183
2466,002709.XSHE,2014-03-31,0,0.39015663994266403
2467,002714.XSHE,2014-03-31,1,0.38797731171372596
2468,300003.XSHE,2014-03-31,1,0.4222196552658265
2469,300014.XSHE,2014-03-31,0,0.3938817561737272
2470,300015.XSHE,2014-03-31,0,0.4116900791403915
2471,300033.XSHE,2014-03-31,1,0.385776930135454
2472,300059.XSHE,2014-03-31,1,0.38915186769293314
2473,300122.XSHE,2014-03-31,1,0.40759190005430657
2474,300124.XSHE,2014-03-31,0,0.4015062138762615
2475,300142.XSHE,2014-03-31,0,0.43635391833709253
2476,300144.XSHE,2014-03-31,0,0.45719242674383526
2477,300274.XSHE,2014-03-31,0,0.39030748459988407
2478,300316.XSHE,2014-03-31,1,0.4045460950756198
2479,300347.XSHE,2014-03-31,1,0.403027213070046
2481,600009.XSHG,2014-03-31,1,0.38798954495899346
2482,600010.XSHG,2014-03-31,0,0.39742226225149135
2483,600011.XSHG,2014-03-31,1,0.38848072016780055
2486,600018.XSHG,2014-03-31,0,0.3926092285990468
2487,600019.XSHG,2014-03-31,1,0.38937694551464785
2488,600028.XSHG,2014-03-31,1,0.3852884911755305
2489,600029.XSHG,2014-03-31,0,0.392919486485344
2491,600031.XSHG,2014-03-31,0,0.4078324763339556
2493,600048.XSHG,2014-03-31,1,0.39477291928695374
2494,600050.XSHG,2014-03-31,1,0.3914214423964787
2495,600061.XSHG,2014-03-31,0,0.38354060625013486
2496,600079.XSHG,2014-03-31,0,0.39216100523425973
2497,600085.XSHG,2014-03-31,0,0.38908935753855317
2498,600104.XSHG,2014-03-31,1,0.38801823917432027
2500,600111.XSHG,2014-03-31,0,0.3841965706742621
2501,600115.XSHG,2014-03-31,0,0.4028735042139957
2502,600132.XSHG,2014-03-31,0,0.4400309139322707
2503,600143.XSHG,2014-03-31,0,0.39126780367710146
2504,600150.XSHG,2014-03-31,1,0.43873646700587743
